Time,Voltage
3.38,2.786864
3.39,2.609618
3.4,2.446577
3.41,2.300647
3.42,2.176026
3.43,2.069807
3.44,1.977149
3.45,1.890624
3.46,1.807328
3.47,1.720803
3.48,1.631373
3.49,1.540006
3.5,1.442181
3.51,1.34468
3.52,1.246532
3.53,1.152905
3.54,1.060246
3.55,0.967587
3.56,0.871054
3.57,0.769678
3.58,0.66572
3.59,0.561761
3.6,0.457479
3.61,0.351261
3.62,0.242459
3.63,0.134626
3.64,0.030991
3.65,-0.066511
3.66,-0.160784
3.67,-0.247955
3.68,-0.329959
3.69,-0.405184
3.7,-0.480732
3.71,-0.556602
3.72,-0.634087
3.73,-0.709312
3.74,-0.782599
3.75,-0.852658
3.76,-0.915292
3.77,-0.97502
3.78,-1.033779
3.79,-1.092861
3.8,-1.156786
3.81,-1.226199
3.82,-1.296581
3.83,-1.365026
3.84,-1.432825
3.85,-1.50127
3.86,-1.573589
3.87,-1.648491
3.88,-1.72533
3.89,-1.797326
3.9,-1.86222
3.91,-1.920979
3.92,-1.973927
3.93,-2.020741
3.94,-2.065294
3.95,-2.110171
3.96,-2.15989
3.97,-2.215744
3.98,-2.279023
3.99,-2.346499
